,Dimension,Benchmark,Algorithm,Execution Times,Mean of Execution Times (s),Standard Deviation of Execution Times (s)
0,2,Ackley,Pure PSO,"[0.07781957999986844, 0.12480778000008286, 0.07575048199987577, 0.05608327400022972, 0.059648491999723774, 0.046816776000014215, 0.049480085999675794, 0.05082324199975119, 0.053337350000219885, 0.049136354999973264]",0.06437033414840698,0.022630106657743454
1,2,Ackley,Vectorized PSO,"[0.14101043300024685, 0.18408676199987895, 0.12198280999973576, 0.11282192499993471, 0.11188754599970707, 0.11136516599981405, 0.11592053599997598, 0.16396571099994617, 0.17217598499973974, 0.12341698199998064]",0.13586340844631195,0.026289815083146095
2,2,Ackley,JAX PSO,"[0.042714823999631335, 0.04471466999984841, 0.03663526600030309, 0.041757449000215274, 0.036675184999694466, 0.03676301499990586, 0.03940269199983959, 0.034047488999931375, 0.035202546999698825, 0.03855202400018243]",0.03864651545882225,0.0032882075756788254
3,2,Alpine,Pure PSO,"[0.04940879200012205, 0.05345920499985368, 0.05261413700009143, 0.059206201000051806, 0.05714578500010248, 0.053676255000027595, 0.05304448200013212, 0.05345143399972585, 0.0465778269999646, 0.04192005599998083]",0.05205041915178299,0.004739372991025448
4,2,Alpine,Vectorized PSO,"[0.09654130700027963, 0.1015813869998965, 0.1059468159996868, 0.0959296250002808, 0.10291656199979116, 0.11836199399976977, 0.12093048699989595, 0.1288422160000664, 0.10605889999987994, 0.10612121400026808]",0.10832305252552032,0.010312476195394993
5,2,Alpine,JAX PSO,"[0.03485490699995353, 0.032137239999883604, 0.0367922529999305, 0.03801491600006557, 0.03394272400009868, 0.031685599999946135, 0.04005884200023502, 0.039994320000005246, 0.03424611999980698, 0.036049413999990065]",0.03577763959765434,0.0028067599050700665
6,2,Griewank,Pure PSO,"[0.08211066799958644, 0.07777927000006457, 0.08266079599980003, 0.06346179599995594, 0.060280363999936526, 0.053244324999923265, 0.06220247700002801, 0.05536002100006954, 0.055109805000029155, 0.0586336559999836]",0.0650843158364296,0.010815986432135105
7,2,Griewank,Vectorized PSO,"[0.1310452949996943, 0.13001308499997322, 0.1295405710002342, 0.1320467179998559, 0.13186016099962217, 0.13135102800015375, 0.13166061399988394, 0.13417100000015125, 0.13589105999972162, 0.13482280900007027]",0.13224023580551147,0.001967509277164936
8,2,Griewank,JAX PSO,"[0.037200731999746495, 0.035681081999882736, 0.03664469500017731, 0.04001348700012386, 0.041558260999863705, 0.04092688499986252, 0.037862190999931045, 0.0396820480000315, 0.03592265299994324, 0.042276784000023326]",0.038776885718107224,0.0022924691438674927
9,2,Rastrigin,Pure PSO,"[0.058928772999934154, 0.05352539199975581, 0.054426832999979524, 0.05442312300010599, 0.05517742600022757, 0.061272172999906616, 0.053268996000042534, 0.05477839100012716, 0.05385863200035601, 0.057140644999890355]",0.055680036544799805,0.0024889500346034765
