,Dimension,Benchmark,Algorithm,Execution Times,Mean of Execution Times (s),Standard Deviation of Execution Times (s)
0,2,Ackley,Python PSO,"[0.11549957699753577, 0.10868908900010865, 0.10825342899624957, 0.10850742900220212, 0.10861702900001546]",0.10851674526929855,0.00016521486395504326
1,2,Rastrigin,Python PSO,"[0.10066256100253668, 0.09275271300430177, 0.09282964399608318, 0.09382858299795771, 0.09716169199964497]",0.09414315223693848,0.001793682691641152
2,2,Rosenbrock,Python PSO,"[0.10656833899702178, 0.09247439399769064, 0.0943604130006861, 0.09681683200324187, 0.09730417300306726]",0.09523895382881165,0.001947399228811264
3,2,Sphere,Python PSO,"[0.08816938500240212, 0.0832869860023493, 0.08268855600181269, 0.08265097700495971, 0.08435648599697743]",0.08324575424194336,0.0006891408702358603
4,2,Ackley,NumPy PSO,"[0.395651167993492, 0.3943090979955741, 0.4065579240050283, 0.38973144000192406, 0.3896059999970021]",0.39505112171173096,0.0069084251299500465
5,2,Rastrigin,NumPy PSO,"[0.26024394699925324, 0.2517286590009462, 0.2584972070035292, 0.25525969799491577, 0.25642760699702194]",0.25547829270362854,0.0024557404685765505
6,2,Rosenbrock,NumPy PSO,"[0.31900825000047917, 0.3109719229978509, 0.3201654900040012, 0.3173284600052284, 0.3113207330025034]",0.31494665145874023,0.003932400140911341
7,2,Sphere,NumPy PSO,"[0.13945278100436553, 0.13259736199688632, 0.1312668139944435, 0.13264115300262347, 0.1340125119968434]",0.13262945413589478,0.0009709243895485997
8,2,Ackley,JAX PSO,"[0.9423667059963918, 0.012365746995783411, 0.01159199600078864, 0.012233656998432707, 0.011565936998522375]",0.011939333751797676,0.000363498053047806
9,2,Rastrigin,JAX PSO,"[0.5964414629997918, 0.009911347005981952, 0.010755338000308257, 0.00990460699540563, 0.010713507006585132]",0.010321199893951416,0.00041349412640556693
10,2,Rosenbrock,JAX PSO,"[0.6013631719979458, 0.00937282799714012, 0.011520156003825832, 0.009776758000953123, 0.011640746000921354]",0.01057762186974287,0.0010138435754925013
11,2,Sphere,JAX PSO,"[0.5657315630014637, 0.009471407000091858, 0.009444948002055753, 0.01067715699900873, 0.009488356998190284]",0.009770467877388,0.000523705966770649
12,4,Ackley,Python PSO,"[0.16835325300053228, 0.1644881339962012, 0.16435020499920938, 0.16521958399971481, 0.16984281300392468]",0.1659751832485199,0.0022572821471840143
13,4,Rastrigin,Python PSO,"[0.156636815998354, 0.14844964900112245, 0.14860548899741843, 0.15276903799531283, 0.15114356800040696]",0.1502419412136078,0.001808967674151063
14,4,Rosenbrock,Python PSO,"[0.15776724600436864, 0.15251590799744008, 0.15266334799525794, 0.15355575700232293, 0.15545335799833992]",0.15354707837104797,0.0011702842311933637
15,4,Sphere,Python PSO,"[0.13642912299837917, 0.13782659199932823, 0.13509352199616842, 0.13641992299380945, 0.13607797200529603]",0.1363545060157776,0.000979522941634059
16,4,Ackley,NumPy PSO,"[0.4005111200021929, 0.40083339999546297, 0.4152115260003484, 0.4092432079996797, 0.3988824210027815]",0.4060426354408264,0.006571092642843723
17,4,Rastrigin,NumPy PSO,"[0.26547260700317565, 0.25873878900165437, 0.2632044480051263, 0.2586525199949392, 0.25916171899734763]",0.25993937253952026,0.0018949242075905204
18,4,Rosenbrock,NumPy PSO,"[0.32170343199686613, 0.31730294400040293, 0.3159476540022297, 0.34097043700603535, 0.3149797750011203]",0.3223001956939697,0.010810800828039646
19,4,Sphere,NumPy PSO,"[0.1365438329958124, 0.1316304739957559, 0.1314431249993504, 0.13191482399997767, 0.1339510039979359]",0.1322348713874817,0.0010049504926428199
20,4,Ackley,JAX PSO,"[0.6530907639971701, 0.010331616998882964, 0.012014026993711013, 0.011738275999960024, 0.01092333700216841]",0.011251814663410187,0.0006656338227912784
21,4,Rastrigin,JAX PSO,"[0.599964278000698, 0.009418036999704782, 0.011260197003139183, 0.009471698002016637, 0.011187686999619473]",0.010334404185414314,0.0008901086985133588
22,4,Rosenbrock,JAX PSO,"[0.5970915790021536, 0.010874526997213252, 0.010410716997284908, 0.009465338000154588, 0.011261246996582486]",0.010502956807613373,0.0006704904371872544
23,4,Sphere,JAX PSO,"[0.578259314999741, 0.010405637003714219, 0.009959987000911497, 0.009747128002345562, 0.010826696998265106]",0.010234862565994263,0.0004161949618719518
24,8,Ackley,Python PSO,"[0.2848575429961784, 0.2807337250051205, 0.2807984050014056, 0.2822251339966897, 0.28172334500413854]",0.2813701629638672,0.0006300121895037591
25,8,Rastrigin,Python PSO,"[0.27450603599572787, 0.2664340889969026, 0.2678623489991878, 0.2693912579998141, 0.2669725390005624]",0.2676650583744049,0.0011195484548807144
26,8,Rosenbrock,Python PSO,"[0.28129632600030163, 0.27793420600210084, 0.279133104995708, 0.27959426600136794, 0.2844116749984096]",0.2802683115005493,0.002467717742547393
27,8,Sphere,Python PSO,"[0.23796320599649334, 0.2536162229953334, 0.2388662769953953, 0.23600065799837466, 0.26038282100489596]",0.24721649289131165,0.010122129693627357
28,8,Ackley,NumPy PSO,"[0.4105329410012928, 0.4110744420031551, 0.40506356300465995, 0.4052007930004038, 0.4067381739951088]",0.4070192575454712,0.002431820845231414
29,8,Rastrigin,NumPy PSO,"[0.2672168499993859, 0.2597974019954563, 0.26425021100294543, 0.2650134900031844, 0.2643238710006699]",0.26334625482559204,0.002070443006232381
30,8,Rosenbrock,NumPy PSO,"[0.32607910499791615, 0.32075874600559473, 0.3229584849977982, 0.32517842600645963, 0.31855458700010786]",0.3218625783920288,0.0024676446337252855
31,8,Sphere,NumPy PSO,"[0.13917670299997553, 0.13366101599967806, 0.13416438499552896, 0.13453889500669902, 0.1384344640027848]",0.13519969582557678,0.0018933992832899094
32,8,Ackley,JAX PSO,"[0.6966182190008112, 0.012746196996886283, 0.013263275999634061, 0.010452707996591926, 0.012083886998880189]",0.012136517092585564,0.0010582151589915156
33,8,Rastrigin,JAX PSO,"[0.6374975349972374, 0.009039128002768848, 0.009234757999365684, 0.009883897000690922, 0.009865687003184576]",0.009505867958068848,0.0003754073695745319
